trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
78,True,"{'a': 0, 'e': 0}",20,0,-202.47461809228213,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
79,True,"{'a': 0, 'e': 0}",20,2,-126.04748722176988,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 1}",1
80,True,"{'a': 0, 'e': 0}",25,0,-52.427926336191554,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
81,True,"{'a': 0, 'e': 0}",20,0,-98.48714500684297,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
82,True,"{'a': 0, 'e': 0}",20,0,-249.62808519874935,"{0: 6, 1: 3, 2: 6, 3: 1, 4: 4}",0
83,True,"{'a': 0, 'e': 0}",25,0,-184.34848204913166,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
84,True,"{'a': 0, 'e': 0}",25,0,-77.55131728885846,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
85,True,"{'a': 0, 'e': 0}",20,0,-119.66135373346833,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
86,True,"{'a': 0, 'e': 0}",20,0,-71.36386407228756,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",25,0,-101.77674941490073,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
88,True,"{'a': 0, 'e': 0}",25,0,-128.30578732678157,"{0: 17, 1: 5, 2: 0, 3: 0, 4: 3}",1
89,True,"{'a': 0, 'e': 0}",20,0,-99.37677676124439,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
90,True,"{'a': 0, 'e': 0}",35,0,-110.57774605798039,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
91,True,"{'a': 0, 'e': 0}",30,0,-98.34712382555026,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 0}",0
92,True,"{'a': 0, 'e': 0}",25,0,-90.94720031216926,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
93,True,"{'a': 0, 'e': 0}",25,0,-148.65987768302674,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
94,True,"{'a': 0, 'e': 0}",20,11,-17.216882706090804,"{0: 4, 1: 5, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",30,0,-178.8328154055784,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
96,True,"{'a': 0, 'e': 0}",25,13,-16.812466624975368,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",30,6,-146.0028302799179,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 2}",1
98,True,"{'a': 0, 'e': 0}",25,0,-165.55551518614246,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
99,True,"{'a': 0, 'e': 0}",25,0,-56.9160944978233,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
100,True,"{'a': 0, 'e': 0}",25,0,-131.9131420096915,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
