trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.2782356912138437}",20,5,-22.05660152489098,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.2, 'e': 0.2698886204774284}",20,6,12.872743781143246,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.26179196186310555}",25,5,21.945159937309974,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.25393820300721237}",30,8,40.29917610437463,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.246320056916996}",20,0,29.668709423060765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.2389304552094861}",20,0,-11.49153011883502,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.23176254155320153}",20,0,-85.31439358999413,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.2, 'e': 0.22480966530660546}",20,12,-4.348571393077889,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.2180653753474073}",30,0,-49.880515520931226,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.2, 'e': 0.21152341408698508}",20,12,11.882167116599872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.2051777116643755}",25,5,-13.959459417596815,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.19902238031444425}",30,19,-11.013507772239073,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.19305170890501092}",35,23,21.802807789613137,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.2, 'e': 0.18726015763786058}",25,10,-7.401174353152916,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.18164235290872474}",20,5,6.14266935934257,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.176193082321463}",30,6,27.921303832086256,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.1709072898518191}",20,11,0.7626172189838529,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.16578007115626453}",35,14,12.81302932795163,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.1608066690215766}",25,13,-27.8379676127647,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.1559824689509293}",30,11,-40.85453931769575,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.2, 'e': 0.15130299488240143}",30,15,15.543304675718675,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.14676390503592937}",20,5,23.036582717441924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.1423609878848515}",30,3,28.776595520892773,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.13809015824830592}",20,2,30.48340103011565,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.13394745350085674}",35,0,40.18364443593911,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.12992902989583105}",20,0,28.40581772572705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.12603115899895612}",25,7,-19.202536725201707,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.12225022422898742}",30,0,-2.2632784578142866,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.1185827175021178}",25,12,-60.92904996157917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
71,False,"{'a': 0.2, 'e': 0.11502523597705426}",20,9,19.660034705379577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.11157447889774263}",25,13,-0.7776766970503606,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.10822724453081034}",20,0,25.842692348050033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.10498042719488604}",20,13,-8.249638991153354,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.10183101437903945}",20,16,7.221589533359447,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.09877608394766826}",30,11,28.459303337370883,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.09581280142923822}",20,8,23.51792304345227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.09293841738636106}",20,1,30.23478115860194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.09015026486477022}",25,9,12.146844446319248,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.08744575691882712}",20,0,26.720190204108516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.0848223842112623}",25,14,17.74891411968312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.08227771268492444}",25,0,17.714907960299787,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.0798093813043767}",25,9,-16.603574372668344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.2, 'e': 0.07741509986524539}",20,4,14.031673230251204,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.07509264686928803}",20,2,-10.677527356074817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.2, 'e': 0.07283986746320939}",20,6,29.556356995219062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.0706546714393131}",30,0,27.030094571035832,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.06853503129613371}",20,2,26.899679198719312,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.0664789803572497}",25,6,-14.766775114644988,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.0644846109465322}",25,0,42.46202105892728,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.06255007261813623}",20,0,25.62556731013356,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.060673570439592144}",25,11,16.85934194382938,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.05885336332640438}",25,11,22.982632672408762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.057087762426612246}",35,19,25.96128669413739,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.05537512955381388}",25,5,31.154260507820272,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.053713875667199464}",20,0,30.69304209317082,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.05210245939718348}",20,15,8.68494673706832,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.05053938561526797}",20,10,17.230485894375658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.04902320404680993}",20,0,0.20214305643520414,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.047552507925405635}",30,9,23.080523379391984,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.04612593268764346}",20,9,22.163684345929802,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.044742154707014155}",25,12,19.18413495478268,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.04339989006580373}",25,0,34.455370555184935,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.04209789336382962}",25,5,19.53926527419655,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.04083495656291473}",20,6,13.6870061329165,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.039609907866027284}",20,14,8.742608888528741,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.03842161063004647}",35,24,19.502781104981697,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.03726896231114507}",25,20,9.586842875942867,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.036150893441810716}",20,14,10.884195081912065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.0350663666385564}",30,13,30.2923083082495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.0340143756393997}",20,3,5.097776482691559,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.03299394437021771}",30,12,32.012502934114885,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.03200412603911118}",20,0,27.76978809600117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.031044002257937842}",20,9,18.72386837783655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.030112682190199705}",20,14,8.487184023725327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.02920930172449371}",20,0,31.49549678214364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.0283330226727589}",20,6,8.348859535583978,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.027483031992576134}",20,0,31.40974450636297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.026658541032798848}",20,1,27.242206414812134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.02585878480181488}",20,4,24.24877956982945,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
